Approval_Year,Drug_Name,ChEMBL_ID
1953,METHOTREXATE SODIUM,CHEMBL3244648
1953,METHSCOPOLAMINE,CHEMBL376897
1953,METHSCOPOLAMINE BROMIDE,CHEMBL1354199
1953,NITROFURANTOIN,CHEMBL572
1953,PHENOXYBENZAMINE,CHEMBL753
1953,PHENOXYBENZAMINE HYDROCHLORIDE,CHEMBL1200787
1953,PHENYTOIN,CHEMBL16
1953,PROPANTHELINE,CHEMBL1180725
1953,PROPANTHELINE BROMIDE,CHEMBL1240
1953,PROPARACAINE,CHEMBL1196
1953,PROPARACAINE HYDROCHLORIDE,CHEMBL1200464
1953,PYRIMETHAMINE,CHEMBL36
1953,SULFAMETHIZOLE,CHEMBL1191
1953,SULFISOXAZOLE ACETYL,CHEMBL1200910
1953,TESTOSTERONE ENANTHATE,CHEMBL1200335
1953,TETRACYCLINE HYDROCHLORIDE,CHEMBL454950
1953,THYROTROPIN,CHEMBL1201532
1954,BENZTROPINE,CHEMBL1201203
1954,BENZTROPINE MESYLATE,CHEMBL1200383
1954,BROMODIPHENHYDRAMINE,CHEMBL1201245
1954,BROMODIPHENHYDRAMINE HYDROCHLORIDE,CHEMBL1200967
1954,BUSULFAN,CHEMBL820
1954,DIATRIZOATE SODIUM,CHEMBL1200581
1954,DIATRIZOIC ACID,CHEMBL1201220
1954,ETHIODIZED OIL,CHEMBL1201458
1954,METARAMINOL,CHEMBL1201319
1954,METARAMINOL BITARTRATE,CHEMBL2062262
1954,METHOXSALEN,CHEMBL416
1954,PIPERAZINE CITRATE,CHEMBL3989678
1954,PIPERAZINE CITRATE,CHEMBL3990694
1954,PRIMIDONE,CHEMBL856
1954,PROCAINE,CHEMBL569
1954,PROCAINE HYDROCHLORIDE,CHEMBL1200841
1954,RAUWOLFIA SERPENTINA,CHEMBL3559672
1954,TRIDIHEXETHYL,CHEMBL1201354
1954,TRIDIHEXETHYL CHLORIDE,CHEMBL1200771
1954,WARFARIN,CHEMBL1464
1954,WARFARIN SODIUM,CHEMBL1200879
1955,AMINOSALICYLATE POTASSIUM,CHEMBL1200584
1955,AMPHETAMINE,CHEMBL405
1955,CHLOROPROCAINE,CHEMBL1179047
1955,CHLOROPROCAINE HYDROCHLORIDE,CHEMBL944
1955,CORTICOTROPIN ZINC HYDROXIDE,CHEMBL1201609
1955,DEXTROAMPHETAMINE,CHEMBL612
1955,FLUDROCORTISONE ACETATE,CHEMBL1201010
1955,HYDROCORTISONE CYPIONATE,CHEMBL1549
1955,HYDROCORTISONE HEMISUCCINATE ANHYDROUS,CHEMBL977
1955,HYDROCORTISONE SODIUM SUCCINATE,CHEMBL1200495
1955,HYDROXYCHLOROQUINE,CHEMBL1535
1955,HYDROXYCHLOROQUINE SULFATE,CHEMBL1690
1955,MEPROBAMATE,CHEMBL979
1955,METHYLPHENIDATE,CHEMBL796
1955,METHYLPHENIDATE HYDROCHLORIDE,CHEMBL1722
1955,PREDNISOLONE,CHEMBL131
1955,PREDNISOLONE ACETATE,CHEMBL1152
1955,PREDNISONE,CHEMBL635
1955,PROCYCLIDINE,CHEMBL86715
1955,PROCYCLIDINE HYDROCHLORIDE,CHEMBL1761
1955,PYRIDOSTIGMINE,CHEMBL1115
1955,PYRIDOSTIGMINE BROMIDE,CHEMBL812
1956,AMBENONIUM,CHEMBL1652
1956,AMBENONIUM CHLORIDE,CHEMBL1200541
1956,FLUOXYMESTERONE,CHEMBL1445
1956,HYDROCORTAMATE,CHEMBL1201263
1956,HYDROCORTAMATE HYDROCHLORIDE,CHEMBL1200635
1956,HYDROXYZINE,CHEMBL896
1956,HYDROXYZINE HYDROCHLORIDE,CHEMBL3186993
1956,ISOPROTERENOL,CHEMBL434
1956,ISOPROTERENOL HYDROCHLORIDE,CHEMBL1711
1956,ISOPROTERENOL SULFATE,CHEMBL3989521
1956,LIOTHYRONINE,CHEMBL1544
1956,LIOTHYRONINE SODIUM,CHEMBL1201119
1956,MECAMYLAMINE,CHEMBL267936
1956,MECAMYLAMINE HYDROCHLORIDE,CHEMBL1237082
1956,MEPENZOLATE,CHEMBL524004
1956,MEPENZOLATE BROMIDE,CHEMBL1724
1956,PHENYTOIN SODIUM,CHEMBL1611
1956,PREDNISOLONE TEBUTATE,CHEMBL1200909
1956,PROCHLORPERAZINE,CHEMBL728
1956,PROCHLORPERAZINE MALEATE,CHEMBL1314751
1956,PROMAZINE,CHEMBL564
1956,PROMAZINE HYDROCHLORIDE,CHEMBL1200469
1956,RESCINNAMINE,CHEMBL1668
1957,ANISINDIONE,CHEMBL712
1957,BACITRACIN ZINC,CHEMBL2096639
1957,BROMPHENIRAMINE,CHEMBL811
1957,BROMPHENIRAMINE MALEATE,CHEMBL1200961
1957,CHLORAMBUCIL,CHEMBL515
1957,CHLORPROMAZINE,CHEMBL71
1957,CHLORPROMAZINE HYDROCHLORIDE,CHEMBL1713
1957,DESERPIDINE,CHEMBL1200515
1957,ETHOTOIN,CHEMBL1095
1957,ISOFLUROPHATE,CHEMBL1025
1957,ISOPROPAMIDE,CHEMBL1201232
1957,ISOPROPAMIDE IODIDE,CHEMBL1200347
1957,MECLIZINE,CHEMBL1623
1957,MECLIZINE HYDROCHLORIDE,CHEMBL3989555
1957,METHOCARBAMOL,CHEMBL1201117
1957,METHSUXIMIDE,CHEMBL697
1957,METHYLPREDNISOLONE,CHEMBL650
1957,NEOMYCIN,CHEMBL3989751
1957,NEOMYCIN SULFATE,CHEMBL3989769
1957,ORPHENADRINE,CHEMBL900
1957,ORPHENADRINE HYDROCHLORIDE,CHEMBL1201023
1957,PERPHENAZINE,CHEMBL567
1957,PHENPROCOUMON,CHEMBL1465
1957,POLYESTRADIOL PHOSPHATE,CHEMBL1201477
1957,POLYMYXIN B SULFATE,CHEMBL5314355
1957,PROCHLORPERAZINE EDISYLATE,CHEMBL1201154
1957,PROPOXYPHENE,CHEMBL1213351
1957,PROPOXYPHENE HYDROCHLORIDE,CHEMBL1237104
1957,SODIUM PHOSPHATE,CHEMBL1060
1957,SODIUM PHOSPHATE P 32,CHEMBL2107525
1957,TETRACYCLINE PHOSPHATE COMPLEX,CHEMBL1201071
1957,TRIAMCINOLONE,CHEMBL1451
1957,TRIFLUPROMAZINE,CHEMBL570
1957,TRIFLUPROMAZINE HYDROCHLORIDE,CHEMBL1201102
1958,BENZONATATE,CHEMBL1374379
1958,CHLOROTHIAZIDE,CHEMBL842
1958,CHLOROTHIAZIDE SODIUM,CHEMBL1200616
1958,CHLORPROPAMIDE,CHEMBL498
1958,CHLORZOXAZONE,CHEMBL1371
1958,DEXAMETHASONE,CHEMBL384467
1958,DICHLORPHENAMIDE,CHEMBL17
1958,FURAZOLIDONE,CHEMBL1103
1958,HALOTHANE,CHEMBL931
1958,PENICILLIN V,CHEMBL615
1958,PENICILLIN V POTASSIUM,CHEMBL1200852
1958,PHENYLPROPANOLAMINE,CHEMBL61006
1958,PHENYLPROPANOLAMINE HYDROCHLORIDE,CHEMBL1200695
1958,SODIUM POLYSTYRENE SULFONATE,CHEMBL1201484
1958,TROLAMINE POLYPEPTIDE OLEATE CONDENSATE,CHEMBL1201537
1959,BENDROFLUMETHIAZIDE,CHEMBL1684
1959,BIPERIDEN,CHEMBL1101
1959,BIPERIDEN HYDROCHLORIDE,CHEMBL1201035
1959,CARISOPRODOL,CHEMBL1233
1959,CHLORAMPHENICOL SODIUM SUCCINATE,CHEMBL1200729
1959,CHLORAMPHENICOL SUCCINIC ACID,CHEMBL1201281
1959,CHYMOTRYPSIN,CHEMBL1201465
1959,CYCLOPHOSPHAMIDE,CHEMBL1200796
1959,CYCLOPHOSPHAMIDE ANHYDROUS,CHEMBL88
1959,DEMECARIUM,CHEMBL1201229
1959,DEMECARIUM BROMIDE,CHEMBL1200514
1959,DEXAMETHASONE PHOSPHORIC ACID,CHEMBL1201302
1959,DEXAMETHASONE SODIUM PHOSPHATE,CHEMBL2021430
1959,DIETHYLPROPION,CHEMBL1194666
1959,DIETHYLPROPION HYDROCHLORIDE,CHEMBL1693
1959,FLUPHENAZINE HYDROCHLORIDE,CHEMBL1448187
1959,HYDROCHLOROTHIAZIDE,CHEMBL435
1959,HYDROFLUMETHIAZIDE,CHEMBL1763
1959,HYDROXYZINE PAMOATE,CHEMBL1200467
1959,IMIPRAMINE,CHEMBL11
1959,IMIPRAMINE HYDROCHLORIDE,CHEMBL1692
1959,INDOCYANINE GREEN,CHEMBL1646
1959,INDOCYANINE GREEN ACID FORM,CHEMBL1201304
1959,ISOCARBOXAZID,CHEMBL1201168
1959,MEDROXYPROGESTERONE ACETATE,CHEMBL717
1959,METHAZOLAMIDE,CHEMBL19
1959,METHYLPREDNISOLONE ACETATE,CHEMBL1364144
1959,METHYLPREDNISOLONE HEMISUCCINATE,CHEMBL1201265
1959,METHYLPREDNISOLONE SODIUM SUCCINATE,CHEMBL1201081
1959,NANDROLONE PHENPROPIONATE,CHEMBL1200412
1959,ORPHENADRINE CITRATE,CHEMBL1200395
1959,OXYMORPHONE,CHEMBL963
1959,OXYMORPHONE HYDROCHLORIDE,CHEMBL1200794
1959,PHENTERMINE,CHEMBL1574
1959,SULFINPYRAZONE,CHEMBL832
1959,THIOTEPA,CHEMBL671
1959,TRIAMCINOLONE DIACETATE,CHEMBL1200449
1959,TRIFLUOPERAZINE,CHEMBL422
1959,TRIFLUOPERAZINE HYDROCHLORIDE,CHEMBL1257040
1960,AMPHETAMINE SULFATE,CHEMBL501
1960,ATROPINE,CHEMBL517712
1960,ATROPINE SULFATE,CHEMBL2146146
1960,BENZPHETAMINE,CHEMBL3545985
1960,BENZPHETAMINE HYDROCHLORIDE,CHEMBL3544906
1960,BENZTHIAZIDE,CHEMBL1201039
1960,CHLORDIAZEPOXIDE,CHEMBL451
1960,CHLORDIAZEPOXIDE HYDROCHLORIDE,CHEMBL1200703
1960,CHLORMEZANONE,CHEMBL1200714
1960,CHLORTHALIDONE,CHEMBL1055
1960,DEMECLOCYCLINE,CHEMBL1591
1960,DEMECLOCYCLINE HYDROCHLORIDE,CHEMBL1200474
1960,DEXTROAMPHETAMINE SULFATE,CHEMBL3544971
1960,DIPHENOXYLATE,CHEMBL1201294
1960,DIPHENOXYLATE HYDROCHLORIDE,CHEMBL1200665
1960,ECHOTHIOPHATE,CHEMBL1201341
1960,ECHOTHIOPHATE IODIDE,CHEMBL1200367
1960,ETHOSUXIMIDE,CHEMBL696
1960,GLUCAGON HYDROCHLORIDE,CHEMBL5314342
1960,GUANETHIDINE,CHEMBL765
1960,GUANETHIDINE MONOSULFATE,CHEMBL1345
1960,HYDROCORTISONE PHOSPHORIC ACID,CHEMBL1641
1960,HYDROCORTISONE SODIUM PHOSPHATE,CHEMBL1200968
1960,LEVONORDEFRIN,CHEMBL677
1960,MEPIVACAINE,CHEMBL1087
1960,MEPIVACAINE HYDROCHLORIDE,CHEMBL1200440
1960,METHOHEXITAL,CHEMBL7413
1960,METHOHEXITAL SODIUM,CHEMBL30219
1960,METHYCLOTHIAZIDE,CHEMBL1577
1960,NITROFURANTOIN SODIUM,CHEMBL1201000
1960,OXYPHENBUTAZONE,CHEMBL3989676
1960,OXYPHENBUTAZONE ANHYDROUS,CHEMBL1228
1960,PROPIOMAZINE,CHEMBL1201210
1960,PROPIOMAZINE HYDROCHLORIDE,CHEMBL1201068
1960,RESERPINE,CHEMBL772
1960,SPIRONOLACTONE,CHEMBL1393
1960,TRIAMCINOLONE ACETONIDE,CHEMBL1504
1960,TRICHLORMETHIAZIDE,CHEMBL1054
1960,TROPICAMIDE,CHEMBL1200604
1961,ACETOPHENAZINE,CHEMBL1085
1961,ACETOPHENAZINE MALEATE,CHEMBL2360079
1961,AMITRIPTYLINE,CHEMBL629
1961,AMITRIPTYLINE HYDROCHLORIDE,CHEMBL1200964
1961,BETAMETHASONE,CHEMBL632
1961,BIPERIDEN LACTATE,CHEMBL1201067
1961,CLOBUTINOL,CHEMBL1474889
1961,COLCHICINE,CHEMBL107
1961,CYPROHEPTADINE,CHEMBL516
1961,CYPROHEPTADINE HYDROCHLORIDE,CHEMBL1716
1961,DIPYRIDAMOLE,CHEMBL932
1961,ETHCHLORVYNOL,CHEMBL591
1961,GLYCOPYRROLATE,CHEMBL1201027
1961,GLYCOPYRRONIUM,CHEMBL1201335
1961,MESTRANOL,CHEMBL1201151
1961,METYRAPONE,CHEMBL934
1961,NORETHYNODREL,CHEMBL1387
1961,PHENELZINE,CHEMBL1089
1961,PHENELZINE SULFATE,CHEMBL1200895
1961,POLYTHIAZIDE,CHEMBL1587
1961,SULFACETAMIDE SODIUM,CHEMBL1723241
1961,THIETHYLPERAZINE,CHEMBL1378
1961,THIETHYLPERAZINE MALATE,CHEMBL2359670
1961,THIETHYLPERAZINE MALEATE,CHEMBL3989478
1961,TOLBUTAMIDE,CHEMBL782
1961,"TOLBUTAMIDE SODIUM, STERILE",CHEMBL1200874
1961,TRANYLCYPROMINE,CHEMBL3989843
1961,TRANYLCYPROMINE SULFATE,CHEMBL3989698
1962,ANISOTROPINE,CHEMBL1186610
1962,ANISOTROPINE METHYLBROMIDE,CHEMBL1578
1962,COLISTIN SULFATE,CHEMBL2218908
1962,FLUOROURACIL,CHEMBL185
1962,GRISEOFULVIN,CHEMBL562
1962,IOTHALAMATE MEGLUMINE,CHEMBL1201125
1962,IOTHALAMIC ACID,CHEMBL1201300
1962,IPODATE,CHEMBL1201243
1962,IPODATE SODIUM,CHEMBL1201033
1962,LEVOPROPOXYPHENE,CHEMBL1738990
1962,LEVOPROPOXYPHENE NAPSYLATE,CHEMBL1593906
1962,METAXALONE,CHEMBL1079604
1962,METHYLDOPA,CHEMBL459
1962,METHYLDOPATE,CHEMBL1201233
1962,METHYLDOPATE HYDROCHLORIDE,CHEMBL1200432
1962,METHYSERGIDE,CHEMBL485253
1962,METHYSERGIDE MALEATE,CHEMBL3989558
1962,NORETHINDRONE,CHEMBL1162
1962,QUINIDINE SULFATE,CHEMBL3707183
1962,STANOZOLOL,CHEMBL2079587
1962,THIORIDAZINE,CHEMBL479
1962,THIORIDAZINE HYDROCHLORIDE,CHEMBL1200916
1962,URACIL MUSTARD,CHEMBL1488
1963,ACETYLCYSTEINE,CHEMBL600
1963,DEXBROMPHENIRAMINE,CHEMBL1201287
1963,DEXBROMPHENIRAMINE MALEATE,CHEMBL1200638
1963,DIAZEPAM,CHEMBL12
1963,FENFLURAMINE,CHEMBL87493
1963,FENFLURAMINE HYDROCHLORIDE,CHEMBL2106217
1963,FLUOCINOLONE ACETONIDE,CHEMBL989
1963,IDOXURIDINE,CHEMBL788
1963,METRONIDAZOLE,CHEMBL137
1963,PSEUDOEPHEDRINE,CHEMBL1590
1963,PSEUDOEPHEDRINE SULFATE,CHEMBL3989855
1963,QUINETHAZONE,CHEMBL1532
1963,VINCRISTINE,CHEMBL90555
1963,VINCRISTINE SULFATE,CHEMBL501867
1964,ACETOHEXAMIDE,CHEMBL1589
1964,AMINOCAPROIC ACID,CHEMBL1046
1964,AMPHOTERICIN B,CHEMBL267345
1964,CYCLOSERINE,CHEMBL771
1964,DACTINOMYCIN,CHEMBL1554
1964,DESIPRAMINE,CHEMBL72
1964,DESIPRAMINE HYDROCHLORIDE,CHEMBL1696
1964,DESOXYRIBONUCLEASE,CHEMBL1201459
1964,ERYTHROMYCIN,CHEMBL532
1964,ERYTHROMYCIN LACTOBIONATE,CHEMBL1200506
1964,ERYTHROMYCIN STEARATE,CHEMBL1200510
1964,ETHYLESTRENOL,CHEMBL1200623
1964,"FIBRINOLYSIN, HUMAN",CHEMBL1201505
1964,LINCOMYCIN,CHEMBL1447
1964,LINCOMYCIN HYDROCHLORIDE,CHEMBL3989551
1964,MELPHALAN,CHEMBL852
1964,NALIDIXIC ACID,CHEMBL5
1964,NORTRIPTYLINE,CHEMBL445
1964,NORTRIPTYLINE HYDROCHLORIDE,CHEMBL1201156
1964,NOVOBIOCIN,CHEMBL36506
1964,NOVOBIOCIN SODIUM,CHEMBL3183453
1964,NYSTATIN,CHEMBL450895
1964,NYSTATIN,CHEMBL5465559
1964,OXANDROLONE,CHEMBL1200436
1964,OXYTETRACYCLINE,CHEMBL1517
1964,OXYTETRACYCLINE HYDROCHLORIDE,CHEMBL1607480
1964,PRALIDOXIME,CHEMBL1420
1964,PRALIDOXIME CHLORIDE,CHEMBL748
1964,TRIAMTERENE,CHEMBL585
1964,TRIOXSALEN,CHEMBL1475
1964,VANCOMYCIN,CHEMBL262777
1964,VANCOMYCIN HYDROCHLORIDE,CHEMBL1200628
1965,AMPICILLIN,CHEMBL174
1965,BETAMETHASONE ACETATE,CHEMBL1200538
1965,BETAMETHASONE PHOSPHORIC ACID,CHEMBL1201207
1965,BETAMETHASONE SODIUM PHOSPHATE,CHEMBL1200762
1965,CHLORPHENESIN CARBAMATE,CHEMBL607710
1965,DOXAPRAM,CHEMBL1754
1965,DOXAPRAM HYDROCHLORIDE,CHEMBL3989519
1965,EPINEPHRINE BITARTRATE,CHEMBL1256958
1965,ERYTHROMYCIN ETHYLSUCCINATE,CHEMBL1200688
1965,ETHIONAMIDE,CHEMBL1441
1965,FLURANDRENOLIDE,CHEMBL1201012
1965,INDOMETHACIN,CHEMBL6
1965,NAFCILLIN,CHEMBL1443
1965,NAFCILLIN SODIUM,CHEMBL1568276
1965,OXAZEPAM,CHEMBL568
1965,PRILOCAINE,CHEMBL1194
1965,PRILOCAINE HYDROCHLORIDE,CHEMBL1200586
1965,TROMETHAMINE,CHEMBL1200391
1965,VINBLASTINE,CHEMBL159
1965,VINBLASTINE SULFATE,CHEMBL378544
1966,ALLOPURINOL,CHEMBL1467
1966,ETHYNODIOL DIACETATE,CHEMBL1200624
1966,FUROSEMIDE,CHEMBL35
1966,INSULIN PORK,CHEMBL1201539
1966,INSULIN SUSP ISOPHANE BEEF/PORK,CHEMBL1201635
1966,INSULIN SUSP PROTAMINE ZINC BEEF/PORK,CHEMBL1201628
1966,PIPOBROMAN,CHEMBL1585
1966,SULFAMETER,CHEMBL1200359
1966,THIOGUANINE,CHEMBL727
1966,TOLAZAMIDE,CHEMBL817
1967,BETAMETHASONE VALERATE,CHEMBL1497
1967,CHLORPROTHIXENE,CHEMBL908
1967,CLOFIBRATE,CHEMBL565
1967,CLOMIPHENE,CHEMBL2355051
1967,CLOMIPHENE CITRATE,CHEMBL3185958
1967,DEXTROTHYROXINE,CHEMBL559
1967,DEXTROTHYROXINE SODIUM,CHEMBL3545058
1967,DIPHENIDOL,CHEMBL936
1967,DIPHENIDOL HYDROCHLORIDE,CHEMBL1529
1967,DOXYCYCLINE,CHEMBL1200699
1967,DOXYCYCLINE ANHYDROUS,CHEMBL1433
1967,DOXYCYCLINE HYCLATE,CHEMBL3989740
1967,ERYTHROMYCIN ESTOLATE,CHEMBL2218877
1967,ERYTHROMYCIN PROPIONATE,CHEMBL2220427
1967,ETHACRYNATE SODIUM,CHEMBL1200487
1967,ETHACRYNIC ACID,CHEMBL456
1967,ETHAMBUTOL,CHEMBL44884
1967,ETHAMBUTOL HYDROCHLORIDE,CHEMBL3140361
1967,FLUPHENAZINE ENANTHATE,CHEMBL1200951
1967,HALOPERIDOL,CHEMBL54
1967,HALOPERIDOL LACTATE,CHEMBL4297147
1967,HYDROXYUREA,CHEMBL467
1967,MEFENAMIC ACID,CHEMBL686
1967,METHENAMINE,CHEMBL1201270
1967,METHENAMINE HIPPURATE,CHEMBL1201104
1967,PENTAZOCINE,CHEMBL100116
1967,PENTAZOCINE LACTATE,CHEMBL3989509
1967,PROPRANOLOL,CHEMBL27
1967,PROPRANOLOL HYDROCHLORIDE,CHEMBL1671
1967,PROTRIPTYLINE,CHEMBL668
1967,PROTRIPTYLINE HYDROCHLORIDE,CHEMBL1200332
1967,THIABENDAZOLE,CHEMBL625
1967,THIOTHIXENE,CHEMBL1201
1968,ACETAMINOPHEN,CHEMBL112
1968,AMANTADINE,CHEMBL660
1968,AMANTADINE HYDROCHLORIDE,CHEMBL1569
1968,AZATHIOPRINE,CHEMBL1542
1968,CARBAMAZEPINE,CHEMBL108
1968,DEFEROXAMINE,CHEMBL556
1968,DEFEROXAMINE MESYLATE,CHEMBL1234
1968,DICLOXACILLIN,CHEMBL893
